start_date,end_date,state,score_max,peak_date
2023-09-05,2023-09-14,Pre-Stress,1.5761419417828795,2023-09-12
2023-09-15,2023-09-26,Pre-Stress,2.5779754086704867,2023-09-26
2023-09-26,2023-09-27,Core Stress,2.5779754086704867,2023-09-26
2023-09-27,2023-10-03,Pre-Stress,2.611296899696093,2023-10-03
2023-10-03,2023-10-04,Core Stress,2.611296899696093,2023-10-03
2023-10-04,2023-10-20,Pre-Stress,2.6968763233821287,2023-10-20
2023-10-20,2023-10-24,Core Stress,2.7095673114290095,2023-10-23
2023-10-24,2023-10-25,Pre-Stress,2.723058720791276,2023-10-25
2023-10-25,2023-11-22,Core Stress,3.872831079571654,2023-11-14
2023-11-22,2023-12-15,Pre-Stress,2.1108167530268185,2023-11-22
2023-12-20,2023-12-28,Pre-Stress,1.4387564303133389,2023-12-20
2024-01-02,2024-01-10,Pre-Stress,1.5102465032107943,2024-01-04
2024-01-16,2024-01-18,Pre-Stress,1.2685950798887915,2024-01-17
2024-01-31,2024-02-01,Pre-Stress,1.353607466047579,2024-01-31
2024-02-05,2024-02-06,Pre-Stress,1.0316465865401208,2024-02-05
2024-02-13,2024-03-01,Pre-Stress,2.125109553636725,2024-02-22
2024-03-05,2024-03-19,Pre-Stress,1.4106931046779292,2024-03-11
2024-03-26,2024-03-27,Pre-Stress,1.056580021882831,2024-03-26
2024-04-02,2024-05-17,Pre-Stress,2.314030461127107,2024-05-01
2024-05-23,2024-05-24,Pre-Stress,1.155145515614307,2024-05-23
2024-05-29,2024-06-05,Pre-Stress,1.337478148010753,2024-05-30
2024-06-24,2024-06-25,Pre-Stress,1.0535390017002593,2024-06-24
2024-07-11,2024-07-12,Pre-Stress,1.1107738080106284,2024-07-11
2024-07-17,2024-08-01,Pre-Stress,2.562508549747874,2024-08-01
2024-08-01,2024-08-05,Core Stress,5.605039721175532,2024-08-05
2024-08-05,2024-08-29,Extreme,6.071559174322076,2024-08-08
2024-08-29,2024-10-09,Core Stress,5.098942421753115,2024-08-29
2024-10-09,2024-12-04,Pre-Stress,2.3192773171050707,2024-10-09
2024-12-09,2024-12-11,Pre-Stress,1.2464046482753786,2024-12-10
2024-12-12,2024-12-16,Pre-Stress,1.1200365373906318,2024-12-12
2024-12-17,2024-12-30,Pre-Stress,2.5599570793266153,2024-12-30
2024-12-30,2025-01-03,Core Stress,2.568734270198121,2024-12-31
2025-01-03,2025-01-07,Pre-Stress,2.695957723831482,2025-01-07
2025-01-07,2025-01-21,Core Stress,3.022692963234155,2025-01-15
2025-01-21,2025-03-03,Pre-Stress,2.763903298694362,2025-03-03
2025-03-03,2025-03-10,Core Stress,5.27984527926999,2025-03-10
2025-03-10,2025-06-30,Extreme,7.043923367393747,2025-04-09
2025-06-30,2025-07-08,Core Stress,3.957876477975068,2025-06-30
2025-07-08,2025-07-21,Pre-Stress,2.0263675352163797,2025-07-08
2025-07-31,2025-08-08,Pre-Stress,1.7556357659816673,2025-08-01
2025-08-19,2025-09-04,Pre-Stress,1.4606593176209075,2025-08-21
2025-09-23,2025-09-29,Pre-Stress,1.2535853897175584,2025-09-25
2025-10-10,2025-11-12,Pre-Stress,2.452239082438528,2025-11-06
2025-11-13,2025-11-20,Pre-Stress,2.706805389065341,2025-11-20
2025-11-20,2025-11-26,Core Stress,2.706805389065341,2025-11-20
2025-11-26,2025-12-15,Pre-Stress,2.394156480258676,2025-11-26
